,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
34,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.405568164,0.358835258,1,0.419359438,0.470315735,0.442126569,0.335976322,0.49994274,0.472103216,0.395483139,1,0.495100291,1,0.660074858,0.617166098,1,0.644954152,0.398721322,0.71606627,0.743561236,0.675634247,0.465876766,0.475131605,0.530099128,0.420428826,0.323189305,0.421726267,0.422446432,0.258915952,0.542440107,1,0.452059034,0.311942479,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.448927296,0.392067761,1,0.37089944,0.334590316,0.491685556,0.283836589,0.33571866,0.384196075,0.422616156,1,0.398406338,1,0.489511071,0.485576194,1,0.474229924,0.571417773,0.46640364,0.413419991,0.523624348,0.445577193,0.467495,0.288595994,0.326610131,0.48396223,0.556517082,0.491188183,0.446849984,0.600673179,1,0.266164923,0.627715804,1,0.576349348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.421409784,0.353327874,1,0.340575453,0.366697002,0.487177752,0.253669467,0.336291857,0.43570313,0.386718992,1,0.435694423,1,0.523549506,0.502651471,1,0.557300308,0.479748713,0.577717545,0.526255338,0.575163329,0.430867907,0.479004312,0.361031645,0.339846894,0.387378114,0.528477131,0.455379401,0.388793035,0.487292899,1,0.310436798,0.567923591,1,0.467069355,0.252419843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.435632783,0.352928793,1,0.410237227,0.424781559,0.364645904,0.322167599,0.408888885,0.410067829,0.455559447,1,0.455824,1,0.592046875,0.608870928,1,0.437634309,0.543487126,0.593025835,0.594332008,0.614303766,0.33868904,0.159361317,0.355572594,0.328747224,0.323958068,0.574261627,0.457848644,0.396066331,0.603317722,1,0.399135658,0.53771642,1,0.446591927,0.378056326,0.412923309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.281001899,0.385823635,1,0.3825545,0.43227823,0.464671619,0.290352656,0.455799927,0.472632493,0.300122648,1,0.493383354,1,0.604999298,0.518994198,1,0.563142461,0.450961294,0.581400967,0.622169143,0.6121755,0.42275303,0.424292823,0.48356905,0.357585819,0.348011379,0.381294835,0.304428288,0.108952525,0.485836428,1,0.408234868,0.530363024,1,0.323114551,0.409695894,0.359909028,0.356424927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.398670553,0.390002714,1,0.422838614,0.468308608,0.521238428,0.324486456,0.476881449,0.504596027,0.34619859,1,0.554247742,1,0.599823668,0.547671097,1,0.59827073,0.442177369,0.599604538,0.652360295,0.654446345,0.411199992,0.432968415,0.524856481,0.431486419,0.336772775,0.427605241,0.441081777,0.317282646,0.456189016,1,0.457342217,0.442326808,1,0.373296042,0.487638949,0.372220853,0.38212848,0.311560918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.393718869,0.296741895,1,0.295066166,0.243764624,0.372992848,0.21820003,0.234852105,0.280360717,0.440421691,1,0.258546522,1,0.58827888,0.539121177,1,0.444509304,0.546400986,0.451335578,0.398122825,0.477113057,0.391197897,0.436198012,0.174640365,0.236400014,0.401338251,0.544731383,0.472923246,0.452684305,0.556771316,1,0.206440492,0.508739445,1,0.477823733,0.222597565,0.336730028,0.345473421,0.468284142,0.483142143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.393203563,0.399944784,1,0.398431767,0.453870004,0.464034016,0.322458058,0.460179118,0.481197043,0.345854279,1,0.496302678,1,0.606997338,0.5449998,1,0.607548893,0.467418685,0.618756581,0.637208957,0.639734453,0.42687378,0.458859144,0.482039944,0.412226858,0.370568489,0.477338014,0.443700688,0.329563279,0.500962622,1,0.432644544,0.490057168,1,0.31558203,0.415881064,0.346683687,0.405798758,0.255440623,0.378725604,0.446059776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.33379412,0.475675296,1,0.448897307,0.503218188,0.578503125,0.415177572,0.550877147,0.547288055,0.430614438,1,0.542172228,1,0.648650654,0.579481665,1,0.663015753,0.467442399,0.700457035,0.713779404,0.706687656,0.513967105,0.528642705,0.581046222,0.454058349,0.428405515,0.434745587,0.330034628,0.127771294,0.530600587,1,0.509882085,0.587677473,1,0.354935705,0.518076521,0.45909672,0.470657913,0.205331375,0.434591157,0.550403482,0.433778008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
